track_id_A,track_id_B,score,common_frames,pos_err_x,pos_err_y,motion_err,size_err,overlap_score,coverage
62,111,0.9224,29,0.0052,0.0295,0.0017,0.0038,0.6506,1.0000
177,131,0.9175,14,0.0121,0.0014,0.0011,0.0246,0.5572,1.0000
111,58,0.9092,73,0.0200,0.0145,0.0028,0.0090,0.7692,1.0000
124,4,0.8930,72,0.0159,0.0484,0.0030,0.0019,0.7692,1.0000
123,27,0.8907,44,0.0224,0.0344,0.0027,0.0014,0.7692,1.0000
173,56,0.8878,27,0.0077,0.0923,0.0014,0.0024,0.7692,1.0000
116,106,0.8715,63,0.0000,0.0260,0.0011,0.0120,0.0000,1.0000
110,132,0.8709,14,0.0441,0.0072,0.0012,0.0098,0.7480,1.0000
143,73,0.8624,53,0.0225,0.0669,0.0025,0.0241,0.7692,1.0000
166,118,0.8563,70,0.0258,0.0708,0.0042,0.0139,0.8258,1.0000
122,20,0.8549,23,0.0000,0.0199,0.0024,0.0965,0.0000,1.0000
145,107,0.8544,127,0.0263,0.0770,0.0031,0.0064,0.8023,1.0000
151,119,0.8534,59,0.0020,0.0370,0.0015,0.0264,0.0000,1.0000
27,81,0.8518,12,0.0000,0.1402,0.0042,0.0284,0.6260,1.0000
8,30,0.8505,19,0.0000,0.1667,0.0016,0.0114,0.6030,1.0000
104,83,0.8492,291,0.0380,0.0524,0.0024,0.0013,0.7814,1.0000
115,98,0.8467,20,0.0000,0.1709,0.0024,0.0358,0.6654,1.0000
65,7,0.8335,42,0.0000,0.0677,0.0016,0.0398,0.0000,1.0000
18,9,0.8325,67,0.0237,0.1163,0.0028,0.0177,0.7692,1.0000
179,60,0.8276,14,0.0156,0.1558,0.0043,0.0143,0.7693,1.0000
125,126,0.8165,26,0.0587,0.0210,0.0011,0.0146,0.5837,1.0000
10,10,0.8137,235,0.0579,0.0313,0.0030,0.0027,0.6525,1.0000
14,15,0.8126,248,0.0580,0.0291,0.0030,0.0008,0.6216,1.0000
138,92,0.8057,149,0.0269,0.1369,0.0033,0.0631,0.7810,1.0000
169,95,0.8002,65,0.0303,0.1562,0.0031,0.0173,0.7692,1.0000
108,21,0.7993,14,0.0720,0.0333,0.0029,0.0114,0.7743,1.0000
167,75,0.7989,43,0.0343,0.1497,0.0022,0.0125,0.7692,1.0000
114,113,0.7987,22,0.0089,0.0489,0.0027,0.0062,0.7692,1.0000
113,115,0.7944,12,0.0037,0.2525,0.0072,0.0584,0.6756,1.0000
5,64,0.7943,22,0.0000,0.1425,0.0005,0.0509,0.0000,1.0000
72,53,0.7938,172,0.0825,0.0173,0.0050,0.0018,0.7887,1.0000
86,19,0.7900,12,0.0758,0.0016,0.0051,0.0959,0.7198,1.0000
174,87,0.7774,58,0.0124,0.2812,0.0061,0.0894,0.7917,1.0000
20,18,0.7679,61,0.0313,0.0322,0.0031,0.0029,0.7692,1.0000
25,26,0.7676,308,0.0888,0.0284,0.0036,0.0019,0.6643,1.0000
87,44,0.7662,189,0.0602,0.1040,0.0044,0.0237,0.7819,1.0000
28,6,0.7634,347,0.0681,0.0710,0.0046,0.0199,0.6874,1.0000
7,13,0.7608,130,0.0921,0.0362,0.0043,0.0179,0.7670,1.0000
9,34,0.7462,254,0.0962,0.0242,0.0036,0.0088,0.5388,1.0000
149,48,0.7456,23,0.0000,0.2808,0.0005,0.0753,0.0000,1.0000
180,112,0.7454,20,0.0111,0.4435,0.0083,0.1354,0.8219,1.0000
23,22,0.7447,83,0.1131,0.0316,0.0030,0.0026,0.7692,1.0000
154,108,0.7368,96,0.0000,0.2608,0.0038,0.0947,0.0000,1.0000
85,38,0.7356,131,0.0000,0.0713,0.0014,0.0218,0.0000,1.0000
137,72,0.7342,75,0.0130,0.1548,0.0024,0.0362,0.7692,1.0000
139,91,0.7341,13,0.0842,0.1119,0.0021,0.0084,0.7692,1.0000
131,70,0.7290,31,0.0000,0.0827,0.0022,0.0151,0.0000,1.0000
75,11,0.7140,33,0.0000,0.4783,0.0059,0.1268,0.2062,1.0000
2,32,0.7116,11,0.0365,0.1159,0.0124,0.0488,0.8016,0.9167
126,94,0.7100,26,0.1053,0.0877,0.0047,0.0101,0.7695,1.0000
40,2,0.7070,26,0.0000,0.0897,0.0081,0.0295,0.0000,1.0000
1,3,0.7050,103,0.0000,0.1194,0.0031,0.0331,0.0000,1.0000
56,8,0.7045,22,0.0289,0.5374,0.0066,0.1284,0.7983,1.0000
94,40,0.6978,23,0.0000,0.0918,0.0098,0.0497,0.0000,1.0000
82,67,0.6895,57,0.0000,0.1380,0.0058,0.0367,0.0000,1.0000
181,102,0.6871,15,0.0369,0.1533,0.0049,0.0274,0.7692,1.0000
35,24,0.6862,14,0.1712,0.0161,0.0028,0.0033,0.6748,1.0000
77,86,0.6852,98,0.1026,0.0278,0.0019,0.0117,0.0000,1.0000
6,12,0.6509,44,0.1301,0.1102,0.0083,0.0119,0.7102,1.0000
44,1,0.6374,17,0.0631,0.6244,0.0062,0.1520,0.8079,1.0000
13,42,0.6283,20,0.1975,0.0595,0.0018,0.0032,0.6088,1.0000
16,25,0.5878,27,0.2112,0.0065,0.0033,0.0095,0.7624,1.0000
